1;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2;xpvppvpbbpppppvppbpvvppppvbbvbppbpvpvvpx
3;xvppbpvppapvvppppppbpbpvppppvbppbpdppvpx
4;xbpppppvvpppvvpppvpbpbpvpppvxxxxxxxxxxxx
5;xpbpdpppvpvvppppppvppppppbppppvpvpppvpvx
6;xxxxxxxxxxxxxpbpvppvvvbpppppppvpppbppppx
7;xbpvbppppppvppbpvpppvppbpvvvpbpvvvpppppx
8;xbpvbppppppvpppbppbppppppppbppppppbpbbpx
9;xppppppbvvpppvppbppvvvbpvvpppvppppbpbbpx
10;xpppvppbpvpbppppbppppppppppbpbpppppppbpx
11;xvvppvbpppppppbpbppppvpvvppppppppvdvpppx
12;xpvppppppvvvvvpvpvvpppppbbbbppbpvvvvvvpx
13;xppvdppbpbppppvpvvppppppbppbppbpvpvvpppx
14;xpbpvvppbpvvpppvpbpbpvpppvvpvvppppppppbx
15;xppppvvpbpvvpppvpbpbpvpbpvpvbppvbppppvpx
16;xpvvpppppppppvvppbpppppbppppbpppbpppvpbx
17;xpppppvpvvpbbpvpppbbbppppbpppvbppbpbpppx
18;xpbppppppvppbpvpbppppvpvvpppbppvbppppppx
19;xpbppppppvpppbppbppppvpppbppppppbppbbppx
20;xppppbpvvvppppbppvvvvvvppppvvvjppbpbbppx
21;xpppdbbppbppppppppbppppppbpbbppppppdbppx
22;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
