1;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2;xbjbvpbbbpxppdpbpppbxpppdpppbpdpppdbpppx
3;xpppdpbpbpxpppbbbppbxbppppbppbxbpppbpbvx
4;xppppvppbbxpvppppvppxppbbvbbppxppppbpbbx
5;xbpvppvbbbxpbppppbppxbppppppbpxpppppppbx
6;xbpbpppbppxpbvppbpbbxpppppppbpxpppppppbx
7;xbbppbppppxpppbpppppxbpbbpppppxpppvvvppx
8;xppbpbbppbxbbpppbpppxbpbbpppppxpppbvvvxx
9;xppbpppbppxpppvppbpbxbppbpvppbxpvbpvvvvx
10;xbpbpxxxxxxxxxvxxxxxxxxxbxxxxxxxxxpbvvpx
11;xpbpvvpppppbbbbppbpvpvvppbbpppvbppbxpppx
12;xbpbvppppppbbbbppbpbpbbpppbppbpbbpxbpbbx
13;xpvpbpbpvxppbbbppbppppbpppbpppppbxpbpbbx
14;xpvpbpbpvxvpxxxxxxxxxxxxxxxxxbbpxppbpppx
15;xvppbbbbpxbppppbpppbpppvpbbppppxpbpbvpbx
16;xbpppbbbpxbpbpppvbppvpvpppbpbbxpppppbppx
17;xbpbppppvxbvppbpbbbpppppppbpbxppppppbppx
18;xppbppppbxppbppppppbpbbpppppxbppbpbpppbx
19;xbpbbppbpxbpppbppppbvbbppppppbppbvppbppx
20;xbpppbpppxppbpbvppppppbpppvvppvbppbdbppx
21;xbbpdpvppxppbpbbppppppbppbpbbpvpbbpbpapx
22;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
