1;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2;xbjxxpxbbpxpppbxbppbppppxpppbpppppbxpdpx
3;xppvxpdpbpxpppxxxppxpbppppbppbpbpppxpxbx
4;xppppxppbdppbppppxpppppbpxxbpppppppxpxxx
5;xdpxppxbxbppbppppxpppbppppppbpbbppppppbx
6;xbpxpppxppbpxxppbpxxdpppppppbpbbppppppxx
7;xbbppbppppxpppbppppppbpbbppppppbppdxxppx
8;xppbpxxppbpbbpppxppppbpbbppppppxppbpxpbx
9;xppxpppdppppppdpbppxxbppbpxpxbppxbppdpbx
10;xbpbppppxpxxpbdpbppxxbppbppdpxpppxppbpxx
11;xpbpxxpppppbbxbppdpxpxbppxbpppxbppdpbpxx
12;xxpxxppppppbbxbppbpxpxbppxbppppxxppbpxxx
13;xpxpbpbpxpppxxbppbppppxpppbpppppxxpbpxxx
14;xpxpbpbpxpdpxpxbppxbppppbppbpbbppppxpppx
15;xxppxbxbppbppppxpppdpppxpbxppppppxpxxpdx
16;xxpppxxbppxpdpppxbppbpbpppbpxbppppppxppx
17;xxpdppppbpxxppbpxxbpppppppbpxbppppppxppx
18;xppbppppxpppbppppppbpbbppppppxppbpxpppxx
19;xbpxxppbpxxpppxppppbpbbppppppxppbdppbppx
20;xxpppbppppppbpbdppppppbpppxxppxbppdpxppx
21;xbbpppxpppppbpbdppppppxppbpxdpdpbxpbppax
22;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
