1;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2;xpbppbjpxpbpppdpxpppvpbpxvppppppxppbbppx
3;xpppppppxppppppvxvvpvpppxvppvpppxppppvpx
4;xvvvvvvvvvvvvvvbvbbvvvvvvbvvdvvvvvvvvbvx
5;xdppppppxpbxpppbxpbpvppvxppbppdpxppbpbpx
6;xpppppppxpbppppbxpbpvvppxpppppbpxpppvppx
7;xxxxxxxxxxxxxxxxxxxxvxxxxxxxxxxxxxxxxxxx
8;xppppbbpxppvppppxpppvppbxppppvppxpppppvx
9;xpppppppxppvppppxpppvpppxppppbpvxpppppbx
10;xvvvvvvvvvvbvvvvvvvvvvvvvvvvvbvvvvvvvvvx
11;xbppbpppxppppbppxppbbpppxppppppdxvpppppx
12;xbppppbpxppbppbpxpppbpbbxpppppppxbpppbpx
13;xpbpppppxpppbpppxpppvpvvxxppppppxbbppbpx
14;xxxxxxxxxxxxxxxxxxxxvxxxxxxxxxxxxxxxxxxx
15;xbpvvvppxppppbpbxpppvpppxpbdppvpxppppppx
16;xpppppvpxvppppppxppdvpppxvppvpbpxpvpvvpx
17;xvvvvvvvvbvvvvvvvvvvvvvvvvvvbvbvvvbvbbvx
18;xdppvpbpxbppppbpxpbpvppbxpbpbpppxppppppx
19;xpppppbpxbppdpppxpppvvppxppbppppxpppvvvx
20;xpdpppbvxppvppppxpvdvbppxpvpppppxpppbbbx
21;xpbppppbxppbppbpxpppvpppxppppbpbxpappbpx
22;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
